Date,ClosingPrice,LogReturn,VaR_10D,Ret_10D,Breach
2020-02-28,112.63905068020097,-0.02811273688336306,0.0576986411900153,-0.07345372934940447,True
2020-03-02,112.12004170642567,-0.004618366187300906,0.0576986411900153,-0.07270724415210426,True
2020-03-12,104.20407713966947,-0.054375111837435194,0.06438572145675617,-0.10624862762544297,True
2020-03-13,106.57625652331586,0.022509496046276382,0.06438572145675617,-0.08344044872751039,True
2020-03-16,101.68489840905228,-0.046981952144445074,0.0777064742623535,-0.1023096639885924,True
2020-03-17,100.8889219470016,-0.007858671541938951,0.0777064742623535,-0.10554996934323044,True
2020-03-18,97.51967843454806,-0.033965941196762134,0.10146027365223631,-0.1643367602869326,True
2020-03-19,96.19924469547426,-0.013632681494334246,0.10146027365223631,-0.18339590656438529,True
2020-03-20,100.55978892457517,0.04433095903749799,0.11052990770016125,-0.14435934154190816,True
2020-03-23,95.20681001447586,-0.054700992275535334,0.11052990770016125,-0.18349729489264713,True
2020-03-24,97.1052655539887,0.019744128979004495,0.11052990770016125,-0.12785254904372922,True
2022-02-24,167.81360941261642,-0.03925556426028775,0.070641188156394,-0.07167739569985561,True
