Date,LogReturn,Loss_1D
2020-03-23,-0.0547010573009045,0.0547010573009045
2020-03-12,-0.05437489482422966,0.05437489482422966
2020-03-16,-0.0469814459122139,0.0469814459122139
2022-02-24,-0.039255630394550975,0.039255630394550975
2020-03-09,-0.035898136755851115,0.035898136755851115
2020-03-18,-0.033966827700854685,0.033966827700854685
2020-12-21,-0.03348273386384731,0.03348273386384731
2020-04-01,-0.03293223178552999,0.03293223178552999
2020-05-04,-0.03270106105859036,0.03270106105859036
2020-09-21,-0.029760043440575992,0.029760043440575992
